season,ep_num,ep_title,ep_rating
1,1,Pilot,8.4
1,2,46 Long,8.2
1,3,"Denial, Anger, Acceptance",8.5
1,4,Meadowlands,8.5
1,5,College,8.9
1,6,Pax Soprana,8.4
1,7,Down Neck,8.3
1,8,The Legend of Tennessee Moltisanti,8.5
1,9,Boca,8.5
1,10,A Hit Is a Hit,7.8
1,11,Nobody Knows Anything,8.8
1,12,Isabella,9.1
1,13,I Dream of Jeannie Cusamano,9.2
2,1,Guy Walks Into a Psychiatrist's Office,8.2
2,2,Do Not Resuscitate,8.0
2,3,Toodle-Fucking-Oo,8.4
2,4,Commendatori,8.5
2,5,Big Girls Don't Cry,8.4
2,6,The Happy Wanderer,8.6
2,7,D-Girl,8.7
2,8,Full Leather Jacket,8.8
2,9,From Where to Eternity,8.8
2,10,Bust-Out,8.4
2,11,House Arrest,8.1
2,12,The Knight in White Satin Armor,9.3
2,13,Funhouse,9.4
3,1,Mr. Ruggerio's Neighborhood,8.6
3,2,"Proshai, Livushka",8.6
3,3,Fortunate Son,8.4
3,4,Employee of the Month,9.1
3,5,Another Toothpick,8.6
3,6,University,8.7
3,7,Second Opinion,8.3
3,8,He Is Risen,8.3
3,9,The Telltale Moozadell,8.0
3,10,To Save Us All from Satan's Power,8.5
3,11,Pine Barrens,9.7
3,12,Amour Fou,9.2
3,13,Army of One,9.0
4,1,For All Debts Public and Private,8.2
4,2,No Show,8.3
4,3,Christopher,7.8
4,4,The Weight,8.4
4,5,Pie-o-My,8.0
4,6,Everybody Hurts,8.4
4,7,Watching Too Much Television,8.1
4,8,Mergers and Acquisitions,8.1
4,9,Whoever Did This,9.3
4,10,"The Strong, Silent Type",8.9
4,11,Calling All Cars,8.0
4,12,Eloise,8.2
4,13,Whitecaps,9.3
5,1,Two Tonys,8.6
5,2,Rat Pack,8.3
5,3,Where's Johnny?,8.6
5,4,All Happy Families,8.5
5,5,Irregular Around the Margins,9.3
5,6,Sentimental Education,8.1
5,7,In Camelot,7.9
5,8,Marco Polo,8.7
5,9,Unidentified Black Males,8.8
5,10,Cold Cuts,8.6
5,11,The Test Dream,8.6
5,12,Long Term Parking,9.7
5,13,All Due Respect,9.3
6,1,Members Only,9.2
6,2,Join the Club,8.7
6,3,Mayham,8.8
6,4,The Fleshy Part of the Thigh,8.4
6,5,Mr. & Mrs. John Sacrimoni Request,8.8
6,6,Live Free or Die,8.5
6,7,Luxury Lounge,8.1
6,8,Johnny Cakes,8.3
6,9,The Ride,8.3
6,10,Moe n' Joe,8.0
6,11,Cold Stones,8.7
6,12,Kaisha,8.2
6,13,Soprano Home Movies,9.1
6,14,Stage 5,8.8
6,15,Remember When,8.5
6,16,Chasing It,7.9
6,17,Walk Like a Man,8.9
6,18,Kennedy and Heidi,9.2
6,19,The Second Coming,9.3
6,20,The Blue Comet,9.6
6,21,Made in America,9.4
